Number,Theme,Subtheme,Year,Set name,Minifigs,Pieces,RRP (GBP),RRP (USD),RRP (CAD),RRP (EUR),EAN,UPC,Width,Height,Depth,Weight,Notes,Qty owned,Qty owned new,Qty owned used,Wanted,Qty wanted,Priority,,,,,,,,,Value new (USD),Value used (USD),Launch date,Exit date
"75075-1","Star Wars","Microfighters",2015,"AT-AT Microfighter",1,88,8.99,9.99,12.99,9.99,5702015349116,673419230285,14.097,12.192,4.5974,0.0908,"",0,0,0,,0,0,,,,,,,,,15.8900,9.7600,"01/01/2015","31/12/2016"
"76911-1","Speed Champions","Aston Martin",2022,"007 Aston Martin DB5",1,298,19.99,19.99,29.99,24.99,5702017231044,673419364027,26.2,14.1,6.1,,"",0,0,0,,0,0,,,,,,,,,19.9700,16.3800,"01/08/2022","31/12/2023"
"9469-1","The Lord of the Rings","The Fellowship of the Ring",2012,"Gandalf Arrives",2,83,11.99,12.99,15.99,,5702014837539,673419167024,19.1,14.1,4.6,0.13,"",0,0,0,,0,0,,,,,,,,,84.1000,45.0600,"01/06/2012","31/07/2013"
"75948-1","Harry Potter","Goblet of Fire",2019,"Hogwarts Clock Tower",8,922,89.99,89.99,119.99,99.99,5702016368697,,35.4,37.8,9.4,,"",0,0,0,,0,0,,,,,,,,,69.0800,54.8800,"01/06/2019","31/12/2022"
"75324-1","Star Wars","The Mandalorian",2022,"Dark Trooper Attack",4,166,29.99,34.99,44.99,34.99,5702017155500,673419356749,26.2,19.1,4.6,,"",0,0,0,,0,0,,,,,,,,,17.7900,18.0700,"01/03/2022","31/12/2023"
"10267-1","Creator Expert","Winter Village Collection",2019,"Gingerbread House",2,1477,84.99,99.99,139.99,89.99,5702016368284,,47.8,27.8,8.8,1.448,"",0,0,0,,0,0,,,,,,,,,122.9800,116.0800,"01/10/2019","31/12/2021"
"76031-1","Marvel Super Heroes","Avengers: Age of Ultron",2015,"The Hulk Buster Smash",4,248,29.99,29.99,39.99,34.99,5702015354011,673419231930,22.1996,26.2128,6.1976,0.41314,"",0,0,0,,0,0,,,,,,,,,84.5000,37.7600,"01/03/2015","31/12/2016"
"21313-1","Ideas","",2018,"Ship in a Bottle",,962,69.99,69.99,89.99,69.99,5702016173161,,38.2,26.2,7.1,,"",0,0,0,,0,0,,,,,,,,,95.0900,72.2300,"01/02/2018","31/12/2019"
"75312-1","Star Wars","The Mandalorian",2021,"Boba Fett's Starship",2,593,44.99,49.99,69.99,49.99,5702016913859,673419340601,28.2,26.2,7.6,,"",0,0,0,,0,0,,,,,,,,,34.6000,29.0600,"01/08/2021","31/12/2023"
"75947-1","Harry Potter","Prisoner of Azkaban",2019,"Hagrid's Hut: Buckbeak's Rescue",6,496,49.99,59.99,79.99,59.99,5702016368680,,38.2,26.2,5.7,,"",0,0,0,,0,0,,,,,,,,,58.6700,43.8800,"01/06/2019","31/12/2021"
